,Batch_number,diceABase,diceATent,diceNBase,diceNTent,FailFlag,FgPerc,AbPerc,NPerc
0,0,0.8247950965718766,0.8475280462786701,0.9789816706553002,0.9824571736073405,"[False, [array(0.03245865, dtype=float32), array(0.02632326, dtype=float32)], [array(0.01901102, dtype=float32), array(0.01842032, dtype=float32)], 9]",0.021067074366978238,0.16654750279017858,0.8123854228428432
1,1,0.7846076685214658,0.7984273266172136,0.9478673078093615,0.9519812051927921,"[False, [array(0.03972459, dtype=float32), array(0.03788453, dtype=float32)], [array(0.02596966, dtype=float32), array(0.02375667, dtype=float32)], 9]",0.03559739249093192,0.13897173745291574,0.8254308700561523
2,2,0.3505331864943995,0.7000265886732252,0.9867666984163103,0.994954043757727,"[False, [array(0.04793959, dtype=float32), array(0.05246607, dtype=float32)], [array(0.01619782, dtype=float32), array(0.01599477, dtype=float32)], 9]",0.004049437386648995,0.14366354261125838,0.8522870200020927
3,3,0.15765288087663484,0.038673952214230256,0.9539445200880953,0.8312793087799539,"[True, [array(0.26865298, dtype=float32), array(0.4752769, dtype=float32)], [array(0.09121437, dtype=float32), array(0.19566189, dtype=float32)], 9]",0.001746995108468192,0.0211334228515625,0.9771195820399693
4,4,0.6972009780562304,0.7985230584685166,0.9724123179578084,0.984045127649951,"[False, [array(0.05684466, dtype=float32), array(0.0824986, dtype=float32)], [array(0.02949643, dtype=float32), array(0.02578759, dtype=float32)], 9]",0.011019025530133928,0.10911709921700614,0.8798638752528599
5,5,0.7622953257685043,0.8686440677966102,0.9817937617619523,0.9918262852999438,"[False, [array(0.04481292, dtype=float32), array(0.07646924, dtype=float32)], [array(0.02106868, dtype=float32), array(0.03722991, dtype=float32)], 9]",0.021980694362095425,0.24873815264020646,0.7292811529976981
6,6,0.6887680555092237,0.8054737392917597,0.9782613327175499,0.988228378179012,"[False, [array(0.04182306, dtype=float32), array(0.07186072, dtype=float32)], [array(0.02437585, dtype=float32), array(0.04255994, dtype=float32)], 9]",0.026382173810686384,0.29167488643101286,0.6819429397583008
7,7,0.6842037875525241,0.8803686234219088,0.9788050455337782,0.9927506769368526,"[False, [array(0.04033405, dtype=float32), array(0.07777819, dtype=float32)], [array(0.02202389, dtype=float32), array(0.05163359, dtype=float32)], 9]",0.02294622148786272,0.2829632077898298,0.6940905707223075
8,8,0.18481817762824354,0.5241506817656575,0.9889912150126076,0.9955860247531012,"[False, [array(0.05716064, dtype=float32), array(0.11631943, dtype=float32)], [array(0.01542837, dtype=float32), array(0.03847054, dtype=float32)], 9]",0.004758971078055245,0.28881113869803293,0.7064298902239118
9,9,0.0,0.0,0.9898048417282508,0.9953568413294761,"[False, [array(0.07058954, dtype=float32), array(0.19428924, dtype=float32)], [array(0.01673043, dtype=float32), array(0.03484605, dtype=float32)], 9]",0.003926413399832589,0.27570860726492746,0.7203649793352399
10,10,0.0,0.0,0.9952055034656211,0.9944574931099779,"[False, [array(0.067247, dtype=float32), array(0.16914494, dtype=float32)], [array(0.01555767, dtype=float32), array(0.02567093, dtype=float32)], 9]",0.0009719303676060268,0.2507969992501395,0.7482310703822544
11,11,0.0,0.0,0.9953995878829377,0.996171284480689,"[False, [array(0.06420219, dtype=float32), array(0.14379576, dtype=float32)], [array(0.01150535, dtype=float32), array(0.0267012, dtype=float32)], 9]",0.0014469964163643973,0.22199467250279017,0.7765583310808454
12,12,0.0,0.0,0.9975305296883096,0.9982789318682799,"[False, [array(0.06474523, dtype=float32), array(0.11320041, dtype=float32)], [array(0.01407681, dtype=float32), array(0.01549371, dtype=float32)], 9]",0.00032397678920200894,0.17203576224190847,0.8276402609688895
13,13,0.0,,0.9970794435691659,0.9933680796044381,"[False, [array(0.07239455, dtype=float32), array(0.1221005, dtype=float32)], [array(0.0234164, dtype=float32), array(0.01198991, dtype=float32)], 9]",0.0001273836408342634,0.10156290871756417,0.8983097076416016
14,14,0.0,0.0,0.9908354329877919,0.9677526670628781,"[False, [array(0.16712323, dtype=float32), array(0.30326244, dtype=float32)], [array(0.05680805, dtype=float32), array(0.11225544, dtype=float32)], 9]",0.00030190604073660713,0.03812898908342634,0.961569104875837
15,15,0.723937561976195,0.7427134913248635,0.9168973768542241,0.9220249663678846,"[False, [array(0.04635329, dtype=float32), array(0.04572937, dtype=float32)], [array(0.03066411, dtype=float32), array(0.03134338, dtype=float32)], 9]",0.05290004185267857,0.13815389360700334,0.808946064540318
16,16,0.5338230927426894,0.5353966812876692,0.9165560230242682,0.9159054565310659,"[False, [array(0.04504524, dtype=float32), array(0.0390591, dtype=float32)], [array(0.02765512, dtype=float32), array(0.02714024, dtype=float32)], 9]",0.03506101880754743,0.12974139622279576,0.8351975849696568
17,17,0.69618499421536,0.7670492965204853,0.9746531449780178,0.9825058538585438,"[False, [array(0.03198212, dtype=float32), array(0.03916192, dtype=float32)], [array(0.02101551, dtype=float32), array(0.02637848, dtype=float32)], 9]",0.02360480172293527,0.2438896724155971,0.7325055258614677
18,18,0.060656231186032514,0.08828907907248922,0.9683647483777477,0.9861022937753969,"[False, [array(0.05338659, dtype=float32), array(0.06325576, dtype=float32)], [array(0.01992034, dtype=float32), array(0.02889406, dtype=float32)], 9]",0.008606093270438058,0.13686725071498326,0.8545266560145787
19,19,0.18070136251954433,0.4971520113919544,0.9912210075473655,0.9949134585672608,"[False, [array(0.05526801, dtype=float32), array(0.07041045, dtype=float32)], [array(0.01825844, dtype=float32), array(0.01390687, dtype=float32)], 9]",0.001926285879952567,0.13481507982526506,0.8632586342947823
20,20,0.5178054781926831,0.715910480616363,0.9928715941535727,0.9966869162562876,"[False, [array(0.03765079, dtype=float32), array(0.05442482, dtype=float32)], [array(0.01121041, dtype=float32), array(0.01739832, dtype=float32)], 9]",0.0034509386335100445,0.21556649889264787,0.7809825624738421
21,21,0.6269616987054185,0.698981989036805,0.9876133462090037,0.9914796162250252,"[False, [array(0.03126771, dtype=float32), array(0.03824811, dtype=float32)], [array(0.01356881, dtype=float32), array(0.02207674, dtype=float32)], 9]",0.007763590131487165,0.2305307388305664,0.7617056710379464
22,22,0.7103297959767034,0.286725157065302,0.9550408067786037,0.9533457495789814,"[True, [array(0.09964049, dtype=float32), array(0.22471909, dtype=float32)], [array(0.03874028, dtype=float32), array(0.12343967, dtype=float32)], 9]",0.008850915091378348,0.06635488782610212,0.9247941970825195
23,23,0.8579946338070158,0.8547119348518434,0.6898599356839136,0.6839975443861488,"[False, [array(0.07045513, dtype=float32), array(0.06981443, dtype=float32)], [array(0.0548171, dtype=float32), array(0.04081193, dtype=float32)], 9]",0.13025978633335658,0.05432442256382534,0.815415791102818
24,24,0.8565234296314688,0.8613151764916681,0.8609731922304968,0.8623875659793834,"[False, [array(0.06036332, dtype=float32), array(0.0388666, dtype=float32)], [array(0.04229689, dtype=float32), array(0.02199793, dtype=float32)], 9]",0.08044610704694476,0.06704412187848773,0.8525097710745675
25,25,0.6348131272704882,0.03827274546282775,0.7092349893325206,0.8532271584241409,"[True, [array(0.4334806, dtype=float32), array(0.76312435, dtype=float32)], [array(0.15664041, dtype=float32), array(0.6366448, dtype=float32)], 9]",0.009963035583496094,0.007294654846191406,0.9827423095703125
26,26,0.7550984266978348,0.7958881385219856,0.9727955818196782,0.9781333678890229,False,NA,NA,NA
